N;CANTON:;NOMBRE DEL LOCAL:;DIRECCION:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F.16.1;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I.28.1;J.29.1;J30;K31
2;SUCRE;VENTA DE ARROZ COOX;Canitas;1,36;1;2,4;1,6;2;2;3,57;3,5;2;3,33;3,14;5;2,86;3,67;2;44 HORAS;1,71;3,6;1;1,64;5;2,5;3,67;1;1,17;2;2,17;2;$1.000,00;1,83;4
3;SUCRE;TALLER DE MECANICA FARIAS;Charapoto - Cristo Rey;1,55;1,4;2,2;1;1,18;1,57;3,14;3,5;2;3,33;3,14;4,25;1,86;3;1,75;44 HORAS;1,71;2,6;1,33;1,73;5;1,83;3,67;1;1,17;2;1,83;2;$1.100,00;2;4
4;SUCRE;TALLER AUTOMOTRIZ BERMUDEZ;Charapoto - Santa Teresa;1,36;1;2,8;1;1,73;1,43;3,14;3,5;2;3,33;4;4,13;1,86;3,33;1,5;48 HORAS;1,57;2,6;1;1,45;5;2,33;3,67;1;1,33;2;2;3;$800,00;1,92;3,94
6;SUCRE;CONFECCIONES MARiA;Av. Las Americas y Paquisha;1,64;1,4;2;1;2;1,43;3,43;5;5;4;5;3,88;2,86;1,67;1,63;52 HORAS;2,14;2;1;1,64;5;1,17;5;1,33;1,67;1,4;2,17;2;$1.200,00;1,75;4,28
9;SUCRE;TIENDA TAURINO;Canitas - Charapoto;1,64;1;1,8;1;1,18;1,29;3,86;5;5;4,11;5;5;2,57;3,33;1,88;50 HORAS;1,43;2,8;1;2,09;5;2,17;3,67;1,33;1,67;1,6;2;2;$900,00;2;4,56
10;SUCRE;VENTA DE CERDO;Canitas - Charapoto;2,36;1,2;2,4;2;2,18;1,57;4,14;4,33;2;4,11;3,14;5;2,29;3,67;1,75;45 HORAS;1,43;3,4;1;2,64;5;2;4;1;1,83;2;2,5;2;$1.100,00;2,25;4,72
15;SUCRE;VENTA DE ARROZ;Puerto Canita - Charapoto;1;1;1,2;1;1,09;1,14;1;3,67;1;3,22;1;4,38;3,29;3,67;1,75;50 HORAS;1;4,6;1;1,64;4,83;2;5;1;1;1;2,33;2;$1.200,00;1,33;5
16;SUCRE;DISTRIBUIDOR DE EMBUTIDOS;Av. Las Americas ;1,55;1;2,2;1,2;1,91;1,57;3,14;3,83;5;3;5;4,25;1,57;2;1,25;44 HORAS;1,86;2,6;1;1,91;5;1;4;1;1;1,2;2,5;2;$1.200,00;1,83;4,33
27;SUCRE;ELECTRICISTA CANTOS;Calle 10 de Agosto - Charapoto;1;1;1;1;1,09;1,14;1;2,5;1;3;1;2,75;2,29;2,67;1,75;50 HORAS;2,14;4;1;1,55;4,83;2;4;1;1;1;2;2;$1.400,00;1,33;3,89
29;SUCRE;CD VEGA;Canitas - Charapoto;1;1;1;1;1,36;1,14;1;2,5;1;3;1;4;2,86;3,83;1,75;64 HORAS;2,14;4;1;1,27;5;2;4;1;1;1;2;2;$1.000,00;1,33;4,83
30;SUCRE;VENTA DE ARROZ DEMERA;San Silvestre - Charapoto;1;1;1;1;1,36;1,14;1,14;3,67;1;3,11;1;3,5;3,71;3,17;1,5;50 HORAS;1,57;4,2;1;1,64;5;1,67;4;1;1;1;1,17;2;$1.000,00;1,33;3,89
31;SUCRE;HOSPEDAJE MUnOZ;San Jacinto;1;1,2;1,4;1,2;1,18;1,14;1,29;3,67;1;3,33;1;4,25;2,71;4,33;1,63;66 HORAS;1,43;3,6;1;1,64;5;1,33;4;1;1;1;2,17;2;$1.200,00;1,33;4,72
33;SUCRE;SERVICIOS CONTABLES MURILLO;Calle Francisco Pacheco y Jose Gilces;1;1;1;1;1,36;1,14;3,14;3,67;1;3,33;1;5;2,71;3,83;1;50 HORAS;1,43;3,6;1;1,64;5;1,33;4;1;1;1;2,17;2;$1.600,00;1,33;4,72
34;SUCRE;VENTA DE ROPA ZAMBRANO;Av. Las Americas;1,27;1,6;1,4;1;1,18;2;2,29;4,5;2;3,67;5;5;2,57;3,83;1,75;48 HORAS;1,57;3;1;1,82;5;1,67;3,67;1,67;1,33;2;3,17;2;$1.200,00;2;4,61
39;SUCRE;VENTA DE MARISCO JOSEFA;Quito Norte;1,36;1,6;2,4;1;1,91;1,14;3,57;5;5;3,33;5;4,5;1,86;2;1,75;40 HORAS;2,43;2,2;1;1,91;5;1,17;4;1;1,33;1,4;2,5;2;$800,00;2,25;4,44
42;SUCRE;DEPOSITO DE MADERA ZAMBRANO;Av. Las Americas;1,64;1,4;2;2,2;1,18;1,29;3,71;5;5;4,22;5;4,25;1,86;2,17;1,38;50 HORAS;1,86;4,4;1;2,36;5;1,33;3,67;1;1;1,8;2,33;2;$1.600,00;2,17;4,72
43;SUCRE;TAPICERIA MACIAS;Calle 10 de Agosto y Eloy Alfaro;1,82;1,4;3;2;1,82;2;3,43;5;5;4,11;5;4,25;2;2,33;1,88;48 HORAS;1,43;2,8;1;2,09;5;1,67;4;1;1;2;2;2;$1.200,00;1,92;4,5
44;SUCRE;VENTA DE COCO DELGADO;Canitas;1,73;1,6;2,8;1;1,55;1,14;3,43;5;5;4,11;5;5;2,43;3,5;2;50 HORAS;2,57;2,8;1;2,27;5;2;3,67;1;1,33;1,2;3;2;$1.200,00;1,67;4,78
48;SUCRE;AUTO FRENO Y ELECTROMECANICA GARCiA ;Av. Las Americas;1,55;1,2;2,2;1;1,18;1,71;3,14;4,33;2;4,11;5;4,25;2,57;3,33;2,13;48 HORAS;1,43;3,6;1,83;2,18;5;2,33;3,67;1;1,33;2;2,33;2;$1.000,00;2;5
51;SUCRE;PISTA DE EVENTOS SALAZAR;Canitas - Charapoto;1,82;1,8;1,4;1;2;2,43;3,71;4,33;2;4,11;3,86;4,63;2,43;3,67;2,38;48 HORAS;1,71;3,4;1,83;2,45;5;2,33;4;1;1,67;2,6;2,17;2;$1.300,00;1,67;4,89
52;SUCRE;EBANISTERIA AVILA;Cristo Rey - Charapoto;1,64;1,8;2,8;1;1,18;1,71;3,71;4,33;1;4,56;5;4,25;3;3,17;2;48 HORAS;1,57;3,2;1;2,09;5;2,5;3,67;1;1,17;2,4;2,5;2;$1.400,00;1,83;5
54;SUCRE;DEPOSITO DE MADERA MURILLO;Bebedero;1,91;2;2,6;1,8;1,36;1,71;3;4,33;1;4,11;5;4,25;2,14;3,67;2,13;48 HORAS;1,57;3;1;1,82;5;2;4;1;1,33;2,2;2,67;2;$1.400,00;1,83;5
62;SUCRE;AUTOREPUESTOS SEZZ;Calle Eloy Alfaro y Santisteban;1,36;1;2,2;1;1,64;2;2,71;3,5;2;3,33;4;5;2,71;3,67;2;48 HORAS;1,71;3,6;1;1,82;5;2,17;3,67;1;1;2,4;2;2;$1.600,00;2;4
65;SUCRE;ELECTRONICA ZAMBRANO;Calle Manuel Cordova - Charapoto;1,27;1;2,8;1,4;1,64;2;3,14;3,5;2;3,67;4;4,13;2,43;3,17;1,63;48 HORAS;1,71;2,8;1;1,45;5;2,17;3,67;1;1,5;2;1,67;2;$800,00;1;4
67;SUCRE;R y K TARJETERIA Y COPIADORA;Calle 10 de agosto y Eloy Alfaro;1,91;1;2,4;1;1,55;1,43;2,71;3,5;2;3,33;3,14;4,63;2,71;3,67;2;48 HORAS;1,71;3,6;1;1,73;5;2,17;3,67;1;1,5;2;2;2;$800,00;2;4
69;SUCRE;VENTA DE MARISCOS CHAVEZ;San Jacinto - Charapoto;1,82;1,6;2,2;1,6;2,27;2,29;2,29;3,5;2;3,33;2,71;4,38;2;2,5;2,38;56 HORAS;2,14;2,8;1,33;1,82;5;1,83;3,67;1;1,33;1,8;1,83;2;$1.000,00;1,92;3,94
72;SUCRE;VENTA DE QUESO MUnOZ;Calle Eloy Alfaro;1,36;1,2;2,4;1;2;2,29;3,14;4,33;2;4,11;3,14;5;2,71;3;1,63;56 HORAS;2;3,6;1,17;1,82;5;2,17;3,67;1;1,5;2,6;2,17;2;$1.200,00;2;4
73;SUCRE;TIENDA PINTO;Calle Santisteban y Eloy Alfaro;1,64;1,4;1,6;1,6;1,82;1,43;3,57;3;2;3,67;1,43;4;3,57;3,33;1,75;56 HORAS;2,43;4;1;1,55;5;1,5;4;1,67;1;1,8;1,67;2;$1.500,00;1,5;4
79;SUCRE;VENTA DE FRUTAS Y VERDURAS CONFORME;Canitas - Charapoto;1,64;1,4;1,6;1;1,27;1,29;3,57;3,5;2;3,67;1,29;4;3,29;3,5;1,75;52 HORAS;2;4;1;1,82;5;3,5;4;2;1;1;2,17;2;$1.200,00;1,92;4
80;SUCRE;VENTA DE AGUA EN TANQUERO MERO;Charapoto;1,91;1;2,8;1;1,18;1,86;3,14;3,5;2;3,33;4;4,88;2,29;3,67;1,88;52 HORAS;2;3,2;1,33;1,91;5;2;3,67;1;1,67;2,4;2,17;2;$800,00;1;4
81;SUCRE;COMEDOR PURITA;Calle 10 de Agosto - Charapoto;2;1,6;2,8;1,6;1,73;2,57;3,14;3,5;2;3,33;3,14;4,63;2,43;2,67;1,75;48 HORAS;1,71;2,6;1;1,55;5;2,17;3,67;1;2;2;1,67;2;$600,00;1,75;3,94
82;SUCRE;TALLER BRAMEP;San Clemente;1,64;2;2,8;1;1,73;1,57;3,14;3,5;2;3,33;4;5;2,29;2,5;1,75;48 HORAS;1,57;3,2;1;1,64;5;1,67;3,67;1;1,17;2,2;1,83;3;$800,00;1,75;3,94
83;SUCRE;VENTA DE ARROZ MERO;Puerto Canita - Charapoto;1,55;1,2;2,8;1;1,09;2;3,57;3,5;2;3,33;3,14;5;2,86;3,67;1,88;48 HORAS;1,71;3,4;1,17;2,09;5;2;3,67;1;1,33;2,4;2,17;2;$1.200,00;1;3,94
84;SUCRE;VENTA DE MARISCOS CENTENO;Santa Teresa;1,91;1,8;2,2;1;1,73;2;3,57;3;2;3,33;4;5;3;3,17;2;48 HORAS;1,71;3;1;1,91;5;2;4;1;1,5;1,2;2,17;2;$1.000,00;2;4
87;SUCRE;VENTA DE ARROZ ZAMBRANO;Cristo Rey - Charapoto;1,27;1,4;3;1,6;1,55;1,86;3,29;5;5;3,67;2,14;4,75;2,57;3,67;1,5;48 HORAS;1,43;3,2;1;2;5;1,83;5;1,33;1,83;1,2;2,33;2;$12.000,00;2,08;4,56
88;SUCRE;COMERCIO DE ARROZ MERO;Pasadero;1,45;1,6;2,4;2,4;2,09;0,14;3,57;5;5;4,11;5;5;2,29;4,33;1,88;48 HORAS;1,86;2,8;1;1,91;5;1,67;5;1,33;1,83;2;2,17;3;$1.600,00;1;4,67
91;SUCRE;PANADERIA ZAMBRANO;San Clemente;1,27;1,2;2,4;1,8;2;2,14;3,14;3,5;2;4,11;4;4,63;1,71;2,5;1,63;52 HORAS;2;3,2;1,33;1,82;5;2;3,67;1;1,17;2;2,17;2;$800,00;2;4
94;SUCRE;VENTA DE MAIZ OLMEDO;Canitas - Charapoto;1,55;1;2,4;1,6;1,36;1,43;3,57;3,5;2;3,33;4;5;2,57;3,67;2;48 HORAS;1,71;3,4;1,33;1,82;5;2,17;3,67;1;1,17;2,2;2,33;2;$1.000,00;1,75;3,94
100;SUCRE;CONFECCION DE ROPA BERMUDEZ;Charapoto - Eloy Alfaro (Canitas);1,64;1,6;2,2;1;1,64;1,14;3,57;3,5;2;3,33;4;5;2,29;3,67;1,88;48 HORAS;1,71;2,8;1,33;2;5;2,17;3,67;1,33;1,67;2,2;1,83;2;$800,00;2;3,83
105;SUCRE;VIDRIERiA FRANCO;Av. Las Americas y 10 de agosto;1,91;1,6;2,2;1,6;1,91;2,43;3,86;4,33;2;4,11;4,43;4,63;2,57;3,17;2,25;48 HORAS;1,57;3;2,17;2,18;5;1,67;3,67;1;1,17;2;2,17;3;$1.000,00;2;5
106;SUCRE;COMERCIO DE CHANCHO OLMEDO;Manabi y Manuel Davila;1,73;1,4;2,8;1;1,18;1,57;4,14;4,33;2;4,11;3,29;4,63;2,57;3,17;2,25;48 HORAS;1,43;2,8;1,5;1,73;5;2;3,67;1;1;2,4;2,5;2;$1.500,00;1,92;4,89
109;SUCRE;TIENDA SOLORZANO;Tierras Amarillas;2;1,8;2,2;1,2;1,18;1,43;3,57;4,33;1;4,56;3,43;5;3,29;3,67;1,75;54 HORAS;1,86;2,8;1,5;2,27;5;2,33;3,67;1;1,83;2,2;2,33;2;$1.000,00;1,75;4,78
111;SUCRE;VENTA DE MARISCO ANCHUNDIA;San Clemente;1,27;1;1;1;2,09;1,43;1;3,67;1;3,67;1;3,75;3;3,17;1,75;52 HORAS;2,14;4;1;1,73;5;1,67;4;1;1;1;1,5;2;$1.200,00;1,92;4
112;SUCRE;TIENDA VELEZ;Eloy Alfaro y Jose Gilces;1,45;2;1,4;1;1,73;2;1;3;2;3,33;1;4;3,71;3,17;1,75;54 HORAS;1,71;4;1;1,64;5;1,17;4;1;1;1;2,17;2;$1.100,00;2;4
114;SUCRE;VENTA DE MARISCOS BAILON;San Jacinto;1;1;1;1;1,82;1,14;1;3,5;1;3,67;1;3,63;3;3,17;1,75;52 HORAS;2,14;4;1;1,82;5;1,67;4;2;1;1;1,5;2;$1.200,00;1,92;4
115;SUCRE;VENTA DE ARROZ CONFORME ;Pasadero;1,27;1;1,6;1;2;1,14;1;3,5;2;3,67;1;3,75;3;3,5;1,75;48 HORAS;1,43;4;1;1,55;5;1;4;1;1;1;1,5;2;$1.400,00;2;4
121;SUCRE;VENTA DE MARISCOS BERMUDEZ;San Clemente;1;1;1;1;1,82;1,14;1;3,5;2;3,67;1;3,75;3;3,17;1,75;52 HORAS;1,86;4;1;1,55;5;2;4;1;1;1;1,5;2;$1.300,00;2;4
130;SUCRE;TIENDA MACAY;Canitas de Charapoto;1,64;1,6;2,4;1;1,36;1,57;3,86;4,33;2;3,67;5;5;3,14;3,67;2;53 HORAS;1,57;3,2;1;1,73;5;2;3,67;1;1,17;2;2;2;$1.100,00;1,75;4,78
131;SUCRE;PELUQUERIA SALAZAR;Calle Eloy Alfaro y Manabi (Charapoto);1,73;1,6;2,6;1;1,64;1,14;4,43;4,33;1;4,11;2,29;3,88;2,71;3;1,88;48 HORAS;1,43;3,2;1;2,09;5;2;3,67;1;1,33;1,8;2,33;1;$800,00;1,75;4,72
137;SUCRE;BAZAR PINTO;Eloy Alfaro;1,55;1,6;2,8;1,6;1,18;1,14;3,14;3,5;1;3;4;5;2,29;3,17;1,88;48 HORAS;1,71;3,6;1;1,64;5;2,17;3,67;1;1,5;2,4;2,17;2;$1.000,00;1,92;4
139;SUCRE;SERVICIOS CONTABLES VIVIANA;Charapoto;1,91;1;2,2;1;1,09;2;3,14;3;2;3,33;3,14;5;3,14;2,67;1,5;48 HORAS;1,71;2,2;1;1,91;5;1,5;3,67;1,33;1,17;2,2;2,17;2;$1.500,00;1,75;4
144;SUCRE;TALLER AUTOMOTRIZ GM;Av. De las Americas - Charapoto;1,73;1,6;2,6;1,8;1,18;2;3,14;3,5;2;3,33;3,57;4,25;3;3,33;2;48 HORAS;1,71;2,6;1;1,73;5;1,83;3,67;1;1,33;2,4;2,17;2;$1.000,00;2;4
145;SUCRE;VENTA DE COCO BERMUDEZ;San Clemente;1,82;2;2,8;2;2;1,43;3,14;3,5;2;3,33;4;5;2,14;3,33;1,63;50 HORAS;1,57;3,2;1,17;1,82;5;2,17;3,67;1;1,33;2,4;2,5;2;$1.200,00;1,08;3,94
149;SUCRE;MECANICA MERO;Cristo Rey;1,91;1;2,2;1;1,18;1,71;3,43;3,5;2;3,33;4;4,25;2,14;2,83;1,88;50 HORAS;1,57;3,6;1,33;1,91;5;1,83;3,67;1;1,17;2;2,17;2;$800,00;2;3,94
152;SUCRE;VENTA DE ARROZ;Pasadero;2,09;1,4;2,4;1;1,45;2;3;4,33;1;4,11;3,14;3,63;2,43;3;2,25;52 HORAS;2;3,6;2,17;2;5;1,83;3,67;1;1,17;1,6;2,33;2;$1.000,00;2;4,72
153;SUCRE;LOCALES URETA;Calle Eloy Alfaro de Charapoto;2;1;2,8;1,4;2,36;1,57;4,43;4,33;2;4,56;3,86;5;4,57;4,5;2,25;48 HORAS;2,14;3,8;1,67;2,45;5;2,5;4;1;1,5;1,8;2,33;2;$800,00;2;5
155;SUCRE;LUBRICANTES MUnOZ;Anibal San Andres;1,91;1,4;2,2;2;2,18;2,14;3,71;4,33;2;4,11;5;5;2,71;3,67;2,38;48 HORAS;1,57;3,4;1,83;2,09;5;2;3,67;1;1,67;1,8;2,5;2;$1.000,00;1,92;4,89
157;SUCRE;TIENDA VERA;Canitas;1,55;1;2,8;1;1,18;1,57;3,14;3,5;1;3,33;4;5;3,43;3,67;1,75;52 HORAS;1,71;3,8;1,33;1,91;5;2,5;3,67;1;1;2,2;2,17;2;$900,00;1,83;3,94
170;SUCRE;TIENDA ZAMBRANO;San Clemente;1,55;1,4;3;2,2;1,36;1,57;3,86;5;5;3,78;5;4,5;1,57;2,17;1,38;50 HORAS;1,29;2,8;1;3,64;5;1,33;5;1,33;2;2,2;2,17;2;$1.100,00;1,25;4,78
