Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
1;ROCAFUERTE;TALLER DE CERRAJERIA ZAMBRANO;La Californía;1,82;1,8;2,8;1;2,18;2;3,57;3,5;2;3,33;3,57;4,63;2,71;3,5;1,75;44 HORAS;1,71;3,2;1;1,64;5;1,67;3,67;1;1,33;2,2;2,17;2;800;2;3,94
2;SUCRE;VENTA DE ARROZ COOX;Cañitas;1,36;1;2,4;1,6;2;2;3,57;3,5;2;3,33;3,14;5;2,86;3,67;2;44 HORAS;1,71;3,6;1;1,64;5;2,5;3,67;1;1,17;2;2,17;2;1000;1,83;4
3;SUCRE;TALLER DE MECANICA FARIAS;Charapoto - Cristo Rey;1,55;1,4;2,2;1;1,18;1,57;3,14;3,5;2;3,33;3,14;4,25;1,86;3;1,75;44 HORAS;1,71;2,6;1,33;1,73;5;1,83;3,67;1;1,17;2;1,83;2;1100;2;4
4;SUCRE;TALLER AUTOMOTRIZ BERMUDEZ;Charapoto - Santa Teresa;1,36;1;2,8;1;1,73;1,43;3,14;3,5;2;3,33;4;4,13;1,86;3,33;1,5;48 HORAS;1,57;2,6;1;1,45;5;2,33;3,67;1;1,33;2;2;3;800;1,92;3,94
5;ROCAFUERTE;VENTA DE ARROZ GARCÍA;Av Don Bosco;1,27;1,4;1,4;1;1,82;1,57;3,14;2,5;2;2,67;5;5;1,29;2,83;1,38;45 HORAS;1,29;3,8;1;1,45;5;1,5;4,67;1;1;1;2,17;2;1500;2,33;3,39
6;SUCRE;CONFECCIONES MARÍA;Av Las Américas y Paquisha;1,64;1,4;2;1;2;1,43;3,43;5;5;4;5;3,88;2,86;1,67;1,63;52 HORAS;2,14;2;1;1,64;5;1,17;5;1,33;1,67;1,4;2,17;2;1200;1,75;4,28
7;ROCAFUERTE;DEPOSITO DE MADERA ROMERO;Callejón Ozaeta;1,55;1,8;1,4;2;1,55;1,71;4,14;4,33;2;4,11;5;5;2,14;3;1,88;48 HORAS;1,43;3;1;2,18;5;1,5;4;1;1,17;1,4;2,17;3;1200;1,67;4,67
8;ROCAFUERTE;REPARACIÓN DE BICICLETA ANGEL;Independencia y Atahualpa;1,82;1,4;2,2;2;1,36;2;4,43;3,67;2;4,11;5;4,5;2,71;2,67;1,75;47 HORAS;1,86;2,8;1;2,27;5;1,5;3,67;1;1;1,6;2,17;2;800;1,83;4,67
9;SUCRE;TIENDA TAURINO;Cañitas - Charapoto;1,64;1;1,8;1;1,18;1,29;3,86;5;5;4,11;5;5;2,57;3,33;1,88;50 HORAS;1,43;2,8;1;2,09;5;2,17;3,67;1,33;1,67;1,6;2;2;900;2;4,56
10;SUCRE;VENTA DE CERDO;Cañitas - Charapoto;2,36;1,2;2,4;2;2,18;1,57;4,14;4,33;2;4,11;3,14;5;2,29;3,67;1,75;45 HORAS;1,43;3,4;1;2,64;5;2;4;1;1,83;2;2,5;2;1100;2,25;4,72
11;ROCAFUERTE;PILADORA SANTA MONICA;San Eloy ;1,91;2;2,8;1,4;1,27;1,71;3,29;4;2;4,11;3,29;4,25;2,29;1,67;2;48 HORAS;1,86;3,2;1,67;2,18;5;1,67;3,67;2;1,33;2,2;2;2;2600;2;4,56
